date,coronavirus,covid,covid 19,stimulus,covid-19,isPartial,stimulus check,coronavirus update,coronavirus cases,coronavirus news,corona virus,isPartial,coronavirus us,coronavirus usa,florida coronavirus,california coronavirus,coronavirus florida,isPartial,coronavirus california,coronavirus vaccine,coronavirus new york,george floyd,coronavirus china,isPartial,covid vaccine,coronavirus nyc,coronavirus texas,nyc coronavirus,coronavirus trump,isPartial,stimulus update,italy coronavirus,coronavirus italy,stimulus package,election results 2020,isPartial,coronavirus ohio,coronavirus ny,coronavirus michigan,second stimulus check,coronavirus nj,isPartial,coronavirus los angeles,trump covid,coronavirus india,coronavirus virginia,coronavirus cure,isPartial,coronavirus colorado,coronavirus death toll,coronavirus symptoms,coronavirus massachusetts,corona,isPartial,covid 19 vaccine,unemployment,hurricane laura,coronavirus pennsylvania,ryan newman,isPartial
2019-12-29,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,5,0,0,0,False
2020-01-05,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,6,0,0,0,False
2020-01-12,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,6,0,0,0,False
2020-01-19,5,0,0,0,0,False,0,0,0,0,5,False,3,5,0,0,0,False,0,0,0,0,6,False,0,0,1,0,1,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,1,0,0,False,0,0,0,0,3,False,0,6,0,0,0,False
2020-01-26,15,0,0,0,0,False,0,2,1,3,23,False,10,22,1,3,1,False,1,1,0,0,13,False,0,1,1,1,3,False,0,0,0,0,0,False,2,2,1,0,1,False,0,0,7,0,3,False,0,0,2,0,12,False,0,6,0,0,0,False
2020-02-02,9,0,0,0,0,False,0,2,1,2,14,False,7,8,1,1,1,False,0,1,1,0,9,False,0,2,1,2,2,False,0,0,0,0,0,False,1,2,1,0,1,False,0,0,5,0,2,False,0,0,1,0,8,False,0,6,0,0,0,False
2020-02-09,7,0,0,0,0,False,0,2,1,2,11,False,6,5,1,1,1,False,0,1,0,0,8,False,0,1,2,1,2,False,0,0,0,0,1,False,1,1,1,0,1,False,0,0,3,0,1,False,0,0,1,0,7,False,0,5,0,0,0,False
2020-02-16,6,0,0,0,0,False,0,2,1,2,9,False,4,5,0,1,0,False,0,0,0,0,5,False,0,0,1,0,1,False,0,0,0,0,0,False,1,1,1,0,1,False,0,0,2,0,1,False,0,0,0,0,5,False,0,6,0,0,47,False
2020-02-23,28,1,1,0,0,False,0,5,3,7,31,False,20,21,2,7,2,False,2,2,1,0,8,False,1,2,2,2,9,False,0,2,2,0,0,False,2,3,2,0,2,False,1,0,3,0,3,False,0,0,2,0,20,False,0,5,0,0,1,False
2020-03-01,38,2,2,0,0,False,0,9,6,8,42,False,33,29,18,12,18,False,3,2,3,0,8,False,1,16,9,16,10,False,0,1,1,0,1,False,5,15,5,0,12,False,2,0,19,1,4,False,0,0,4,0,29,False,0,5,0,1,0,False
2020-03-08,75,7,5,0,1,False,0,25,15,15,73,False,68,60,26,18,25,False,5,5,6,0,16,False,5,27,17,27,43,False,0,4,4,0,0,False,48,32,36,0,34,False,3,1,29,5,7,False,0,1,8,0,67,False,1,6,0,2,0,False
2020-03-15,100,19,13,1,3,False,3,36,28,24,100,False,93,86,40,28,39,False,7,8,7,0,26,False,9,31,25,31,42,False,0,6,6,1,0,False,67,42,55,0,45,False,4,3,67,7,9,False,0,1,8,0,100,False,2,42,0,3,0,False
2020-03-22,86,24,16,4,4,False,7,37,29,20,82,False,78,100,33,21,32,False,5,7,9,0,22,False,11,25,20,25,32,False,0,7,7,4,0,False,48,37,51,0,28,False,3,3,100,5,7,False,0,1,4,0,88,False,3,75,0,2,0,False
2020-03-29,70,23,15,2,4,False,5,27,23,15,46,False,67,88,26,18,27,False,5,5,8,0,14,False,10,19,15,21,23,False,0,3,3,1,0,False,36,28,40,0,22,False,2,3,74,4,4,False,0,1,2,0,61,False,3,100,0,1,0,False
2020-04-05,67,21,13,3,3,False,7,23,18,12,34,False,57,74,17,15,17,False,4,4,7,0,9,False,9,17,11,16,19,False,0,2,2,1,0,False,29,24,32,1,19,False,2,3,51,3,3,False,0,1,1,0,47,False,2,94,0,1,0,False
2020-04-12,57,19,11,8,3,False,33,18,13,10,24,False,45,60,15,13,15,False,4,3,5,0,9,False,9,12,11,12,20,False,0,1,1,1,0,False,26,19,28,5,14,False,1,3,39,2,2,False,0,1,1,0,39,False,2,96,0,1,0,False
2020-04-19,44,18,10,4,2,False,16,14,11,8,20,False,37,49,13,12,14,False,3,4,4,0,5,False,11,9,9,9,18,False,0,1,1,1,0,False,21,14,22,21,12,False,1,3,31,2,2,False,0,0,1,0,33,False,3,91,0,1,0,False
2020-04-26,30,16,10,3,2,False,13,11,9,6,15,False,32,39,10,10,10,False,3,3,3,0,4,False,10,7,7,7,11,False,0,1,1,1,0,False,17,10,16,32,10,False,1,2,26,2,1,False,0,0,1,0,29,False,2,83,0,1,0,False
2020-05-03,28,17,8,3,2,False,11,10,8,6,12,False,29,31,8,8,8,False,2,4,2,0,3,False,12,6,6,6,9,False,0,1,1,1,0,False,13,9,14,27,9,False,1,2,24,2,1,False,0,0,1,0,28,False,3,72,0,1,0,False
2020-05-10,26,16,8,3,2,False,12,9,7,5,11,False,25,28,7,8,7,False,2,3,2,0,3,False,10,6,6,6,9,False,1,0,0,1,0,False,12,9,12,30,8,False,1,2,22,1,1,False,0,0,1,0,23,False,2,70,0,0,0,False
2020-05-17,20,14,7,3,2,False,10,8,6,4,10,False,22,24,7,6,7,False,2,3,1,0,3,False,12,5,6,5,9,False,0,0,0,1,0,False,10,7,12,56,7,False,1,2,19,1,1,False,0,0,0,0,21,False,2,69,0,0,0,False
2020-05-24,17,13,6,2,2,False,6,7,6,4,8,False,20,21,5,5,5,False,1,2,1,76,2,False,9,4,4,4,7,False,1,0,0,0,0,False,8,6,9,32,6,False,1,2,18,1,1,False,0,0,0,0,19,False,2,62,0,0,0,False
2020-05-31,15,13,6,1,2,False,6,6,5,3,7,False,16,18,5,4,5,False,1,2,1,100,2,False,7,4,3,3,7,False,0,0,0,0,0,False,7,5,8,42,5,False,1,2,16,1,1,False,0,0,0,0,18,False,1,58,0,0,0,False
2020-06-07,14,13,5,1,2,False,5,6,5,3,6,False,15,16,6,4,6,False,1,2,1,31,1,False,9,3,4,3,5,False,0,0,0,0,0,False,6,4,7,35,5,False,1,1,17,1,1,False,0,0,0,0,17,False,2,53,0,0,0,False
2020-06-14,13,13,5,1,2,False,3,5,5,3,6,False,15,14,11,4,11,False,1,2,1,8,3,False,10,3,6,3,5,False,0,0,0,0,0,False,6,4,7,17,4,False,1,2,14,1,1,False,0,0,0,0,17,False,2,52,0,0,0,False
2020-06-21,14,15,6,1,2,False,5,5,6,3,5,False,20,17,18,6,17,False,2,2,1,5,2,False,11,3,9,3,8,False,0,0,0,0,0,False,8,5,8,36,5,False,1,2,13,1,1,False,0,0,1,0,16,False,2,52,0,0,0,False
2020-06-28,13,15,6,1,2,False,4,6,6,3,5,False,20,19,16,8,17,False,2,3,1,3,2,False,14,3,11,3,8,False,0,0,0,0,0,False,11,5,10,34,5,False,1,2,13,1,1,False,0,0,1,0,15,False,2,52,0,0,0,False
2020-07-05,14,16,6,1,2,False,5,5,6,3,4,False,20,18,15,6,15,False,2,3,1,2,1,False,13,3,9,3,8,False,0,0,0,0,0,False,11,5,11,35,5,False,1,2,12,1,1,False,0,0,1,0,15,False,2,53,0,0,0,False
2020-07-12,13,17,5,1,2,False,4,5,6,3,4,False,19,16,17,9,18,False,2,4,1,2,1,False,24,2,9,3,7,False,0,0,0,0,0,False,12,5,10,30,4,False,1,3,11,1,1,False,0,0,1,0,15,False,4,53,0,0,0,False
2020-07-19,12,15,5,2,2,False,6,4,5,3,4,False,16,15,11,6,11,False,1,3,1,2,1,False,20,2,7,2,6,False,1,0,0,1,0,False,9,4,8,47,4,False,1,2,10,1,0,False,0,0,0,0,14,False,3,56,0,0,0,False
2020-07-26,11,15,5,2,2,False,8,4,5,3,4,False,15,12,9,4,9,False,1,3,1,2,1,False,16,2,5,2,5,False,1,0,0,1,0,False,9,3,7,55,4,False,1,2,8,1,0,False,0,0,0,0,15,False,2,53,0,0,0,False
2020-08-02,10,14,4,2,5,False,7,3,4,3,3,False,13,11,7,4,7,False,1,2,1,3,1,False,16,1,4,2,5,False,1,0,0,1,0,False,7,3,6,43,4,False,0,2,8,1,0,False,0,0,0,0,14,False,2,51,0,0,0,False
2020-08-09,9,13,4,2,2,False,5,3,4,2,3,False,11,10,6,3,6,False,1,3,1,2,1,False,26,1,3,1,4,False,1,0,0,0,0,False,6,2,6,34,3,False,0,2,6,0,0,False,0,0,0,0,14,False,3,53,0,0,0,False
2020-08-16,8,14,3,1,1,False,4,3,3,2,3,False,10,8,5,3,5,False,1,2,0,2,1,False,15,1,3,1,4,False,1,0,0,0,0,False,5,2,5,27,3,False,0,3,6,0,0,False,0,0,0,0,13,False,2,45,1,0,0,False
2020-08-23,8,13,3,1,1,False,3,2,3,2,3,False,8,7,4,3,4,False,1,2,0,2,1,False,12,1,2,1,3,False,0,0,0,0,0,False,5,2,4,24,2,False,0,2,5,0,0,False,0,0,0,0,12,False,1,44,48,0,0,False
2020-08-30,7,12,3,1,1,False,3,2,3,2,2,False,8,7,4,2,4,False,1,2,0,1,1,False,15,1,2,1,3,False,0,0,0,0,0,False,4,2,3,25,2,False,0,1,6,0,0,False,0,0,0,0,11,False,2,45,2,0,0,False
2020-09-06,7,13,3,1,1,False,4,2,3,2,2,False,9,6,3,2,4,False,1,2,0,1,1,False,14,1,2,1,3,False,0,0,0,0,0,False,4,2,3,32,2,False,0,2,6,0,0,False,0,0,0,0,11,False,2,46,1,0,0,False
2020-09-13,8,13,3,1,2,False,4,2,3,2,2,False,8,6,3,2,3,False,1,2,0,1,1,False,13,1,2,1,3,False,1,0,0,0,0,False,3,2,3,31,2,False,0,1,6,0,0,False,0,0,0,0,12,False,2,44,1,0,0,False
2020-09-20,7,13,3,1,1,False,3,3,3,2,2,False,7,6,3,2,3,False,0,2,0,1,1,False,12,1,2,1,3,False,1,0,0,0,0,False,3,2,3,29,2,False,0,1,5,0,0,False,0,0,0,0,12,False,1,37,0,0,0,False
2020-09-27,7,13,3,1,1,False,5,3,2,2,2,False,6,5,3,1,3,False,0,1,0,1,1,False,11,2,1,2,23,False,1,0,0,0,0,False,3,2,3,39,2,False,0,30,4,0,0,False,0,0,0,0,12,False,1,34,0,0,0,False
2020-10-04,7,14,3,1,1,False,4,2,2,2,2,False,6,5,3,1,3,False,0,1,0,1,1,False,11,2,1,2,17,False,1,0,0,0,0,False,3,2,3,36,2,False,0,20,4,0,0,False,0,0,0,0,14,False,1,32,0,0,0,False
2020-10-11,7,14,3,1,1,False,3,2,2,2,2,False,6,5,3,1,3,False,0,1,0,1,1,False,11,1,1,1,5,False,1,0,0,0,0,False,4,2,3,26,2,False,0,4,4,0,0,False,0,0,0,0,17,False,1,30,0,0,0,False
2020-10-18,8,14,3,1,1,False,4,2,2,2,2,False,7,6,3,1,3,False,0,1,0,1,1,False,13,1,1,1,4,False,1,0,0,0,0,False,5,2,4,34,2,False,0,3,4,0,0,False,0,0,0,0,20,False,1,29,0,0,0,False
2020-10-25,8,17,3,1,1,False,3,2,2,2,2,False,8,7,3,1,3,False,0,1,0,1,1,False,13,1,2,1,4,False,1,0,0,0,0,False,6,2,5,21,3,False,0,3,4,0,0,False,0,0,0,0,22,False,1,26,0,0,0,False
2020-11-01,7,15,3,0,1,False,2,2,2,2,2,False,14,10,2,1,2,False,0,1,0,1,0,False,11,1,1,1,7,False,0,0,0,0,100,False,4,2,5,11,2,False,0,5,3,0,0,False,0,0,0,0,15,False,1,23,0,0,0,False
2020-11-08,7,17,3,1,1,False,2,2,2,2,2,False,10,8,3,2,3,False,1,2,0,1,0,False,35,1,2,1,6,False,0,0,0,0,12,False,8,2,6,16,4,False,0,4,3,0,0,False,0,0,0,0,13,False,3,26,0,0,0,False
2020-11-15,7,18,3,1,1,False,2,2,3,2,2,False,9,6,4,4,4,False,1,2,0,1,1,False,30,2,2,2,5,False,0,0,0,0,3,False,10,2,8,15,4,False,1,3,3,0,0,False,0,0,0,0,13,False,3,26,0,0,0,False
2020-11-22,6,16,3,0,1,False,2,2,2,2,2,False,8,5,3,2,3,False,1,2,0,1,0,False,28,1,1,1,3,False,0,0,0,0,1,False,6,2,4,12,3,False,1,2,3,0,0,False,0,0,0,0,13,False,2,23,0,0,0,False
2020-11-29,5,16,3,1,1,False,2,2,2,1,2,False,8,5,2,3,3,False,1,2,0,0,0,False,42,1,1,1,3,False,1,0,0,0,1,False,6,2,5,15,3,False,1,2,2,0,0,False,0,0,0,0,13,False,3,28,0,0,0,False
2020-12-06,5,17,3,1,1,False,2,1,2,1,2,False,8,5,2,3,2,False,1,2,0,0,0,False,75,1,1,1,3,False,1,0,0,0,1,False,5,2,4,16,2,False,0,2,2,0,0,False,0,0,0,0,16,False,5,28,0,0,0,False
2020-12-13,5,18,3,1,1,False,4,2,2,1,2,False,7,5,2,2,2,False,1,2,0,0,0,False,94,1,1,1,3,False,1,0,0,1,1,False,4,2,3,27,2,False,0,2,2,0,0,False,0,0,0,0,17,False,6,28,0,0,0,False
2020-12-20,6,17,3,4,1,False,14,2,2,2,2,False,7,5,2,2,2,False,1,2,0,0,1,False,74,1,1,1,3,False,3,0,0,1,0,False,3,2,3,66,2,False,0,3,3,0,0,False,0,0,0,0,14,False,4,33,0,0,0,False
2020-12-27,6,18,3,7,1,False,28,2,2,2,2,False,7,5,2,2,3,False,1,2,0,1,1,False,100,1,1,1,3,False,4,0,0,1,0,False,3,2,3,100,2,False,0,2,3,0,0,False,0,0,0,0,13,False,5,41,0,0,0,False
