"query","search interest","increase percent"
"donald trump",29,"Breakout"
"trump",37,"Breakout"
"bernie sanders",7,"Breakout"
"ashley madison",4,"Breakout"
"bobbi kristina",4,"Breakout"
"alexis tsipras",2,"4,300%"
"floyd mayweather, jr.",2,"2,950%"
"jordan spieth",2,"2,550%"
"volkswagen passenger cars",4,"1,850%"
"planned parenthood",3,"1,850%"
"windows 10",4,"1,500%"
"ben carson",3,"1,250%"
"brian williams",2,"1,200%"
"lamar odom",5,"1,150%"
"ronda rousey",4,"900%"
"new horizons",1,"900%"
"jeb bush",4,"850%"
"san bernardino",3,"800%"
"tom brady",7,"800%"
"bruce jenner",6,"750%"
"yemen",5,"700%"
"fallout 4",3,"550%"
"greece",6,"550%"
"ted cruz",2,"500%"
"nepal",3,"500%"
"paris",9,"500%"
"duggar",5,"450%"
"jon stewart",2,"400%"
"golden state warriors",5,"400%"
"hillary clinton",14,"400%"
"hillary rodham clinton",10,"400%"
"kylie jenner",4,"350%"
"david cameron",2,"350%"
"airasia",2,"300%"
"blake shelton",1,"300%"
"charlie sheen",2,"250%"
"new york mets",2,"250%"
"chicago cubs",3,"250%"
"james bond",1,"250%"
"persib",1,"250%"
"stock stock",27,"200%"
"scott walker",2,"190%"
"saudi arabia",2,"180%"
"boston marathon bombings",1,"180%"
"apple inc.",11,"160%"
"manny pacquiao",3,"160%"
"serena williams",4,"150%"
"rand paul",2,"140%"
"baltimore",7,"140%"
"aaron hernandez",2,"140%"